id,pathway_id
1,1
1,2
1,3
2,1
2,2
3,1
4,2
5,2
5,3
7,3
8,4
9,4
10,4
12,5
13,5
14,5
16,15
16,16
16,17
16,18
16,19
19,15
19,16
19,17
19,18
19,19
22,6
22,7
23,6
24,6
25,7
26,7
27,8
28,8
29,8
30,8
31,8
44,9
65,9
66,9
71,15
71,16
71,17
71,18
71,19
74,10
75,10
76,10
77,11
78,11
79,11
80,12
80,15
80,16
80,17
80,18
80,19
81,12
82,12
83,13
84,13
85,13
86,14
87,14
88,14
122,15
123,15
124,15
125,15
131,16
132,16
133,16
134,16
135,16
136,16
137,16
138,16
139,16
140,16
141,17
142,17
143,17
144,17
146,18
149,18
150,18
157,15
157,16
157,17
158,15
158,16
158,17
208,19
210,19
219,19
220,19
221,19
223,19
229,19
232,19